txn_id,user_id,amount,txn_time,location,device_id,merchant_category,is_fraud
1,8397,1407.8,2025-06-08 04:12:26,Mumbai,Android_Phone,Entertainment,1
2,5422,9030.36,2025-06-06 08:09:39,Delhi,iPhone,Groceries,0
3,2163,3950.24,2025-06-22 22:37:48,Kolkata,Linux_PC,Electronics,0
4,2424,2738.83,2025-06-19 20:51:30,Mumbai,Android_Phone,Groceries,0
5,7932,508.87,2025-06-08 16:50:59,Mumbai,Linux_PC,Groceries,0
6,2160,508.79,2025-06-15 11:14:52,Hyderabad,MacBook,Groceries,0
7,4598,179.52,2025-06-12 16:45:39,Mumbai,iPhone,Entertainment,0
8,4598,6033.69,2025-06-12 15:09:05,Delhi,iPhone,Travel,0
9,9348,2757.25,2025-06-29 10:21:37,Mumbai,Windows_PC,Travel,0
10,1488,3693.75,2025-06-25 04:12:53,Kolkata,MacBook,Apparel,1
11,2674,62.4,2025-06-10 04:51:59,Chennai,Android_Phone,Apparel,1
12,1525,10510.67,2025-06-23 21:04:11,Kolkata,Linux_PC,Travel,0
13,9423,5359.29,2025-06-12 07:19:16,Mumbai,Android_Phone,Entertainment,0
14,4752,716.06,2025-06-16 22:04:15,Mumbai,iPhone,Electronics,0
15,2827,602.04,2025-06-25 20:32:34,Kolkata,Windows_PC,Groceries,0
16,2654,607.83,2025-06-15 12:35:16,Kolkata,Windows_PC,Entertainment,0
17,5061,1088.26,2025-06-07 01:22:19,Mumbai,Linux_PC,Entertainment,1
18,2291,2231.78,2025-06-24 21:49:37,Hyderabad,Tablet,Groceries,0
19,9348,1696.61,2025-06-30 02:43:03,Bangalore,Tablet,Entertainment,1
20,4946,1032.67,2025-06-08 03:36:50,Delhi,Tablet,Travel,1
21,7939,2839.11,2025-06-05 20:28:54,Mumbai,iPhone,Electronics,0
22,3504,450.7,2025-06-29 15:22:22,Bangalore,Android_Phone,Groceries,0
23,8962,1036.55,2025-06-04 02:44:10,Kolkata,Windows_PC,Groceries,1
24,2049,1368.83,2025-06-07 22:12:04,Chennai,MacBook,Entertainment,0
25,3677,1826.8,2025-06-14 20:56:39,Delhi,iPhone,Entertainment,0
26,3677,4613.81,2025-06-11 11:18:31,Kolkata,Linux_PC,Dining,0
27,3504,668.21,2025-06-23 03:02:56,Bangalore,iPhone,Groceries,1
28,3646,2166.09,2025-06-26 23:21:18,Chennai,Android_Phone,Electronics,0
29,8527,2692.51,2025-06-26 18:21:55,Kolkata,iPhone,Entertainment,0
30,1434,142.69,2025-06-13 18:34:33,Chennai,MacBook,Apparel,0
31,9005,2806.0,2025-06-22 20:47:16,Bangalore,Linux_PC,Electronics,0
32,4527,560.88,2025-06-06 05:51:26,Kolkata,Linux_PC,Travel,0
33,5339,201.79,2025-06-11 09:21:30,Mumbai,Windows_PC,Dining,0
34,2824,8921.06,2025-06-21 19:04:40,Kolkata,Tablet,Travel,0
35,6804,10111.89,2025-06-03 12:03:12,Delhi,Linux_PC,Electronics,0
36,6168,4956.99,2025-06-22 08:24:59,Kolkata,Linux_PC,Apparel,0
37,4593,1089.86,2025-06-16 06:31:34,Delhi,Linux_PC,Apparel,0
38,9645,308.33,2025-06-25 11:39:55,Bangalore,MacBook,Electronics,0
39,8019,3458.25,2025-06-17 05:52:53,Bangalore,iPhone,Electronics,0
40,8962,1740.27,2025-06-23 22:22:53,Mumbai,Android_Phone,Entertainment,0
41,4257,390.46,2025-06-30 09:03:33,Hyderabad,iPhone,Groceries,0
42,4923,2050.64,2025-06-27 00:33:19,Delhi,Windows_PC,Apparel,1
43,4470,104.98,2025-06-10 21:53:36,Chennai,iPhone,Apparel,0
44,2104,7201.27,2025-06-12 14:47:21,Delhi,Tablet,Travel,0
45,4608,898.37,2025-06-17 19:13:54,Kolkata,Windows_PC,Dining,0
46,6573,3258.77,2025-06-13 23:10:55,Mumbai,iPhone,Groceries,0
47,3286,1120.64,2025-06-06 05:40:48,Hyderabad,Linux_PC,Groceries,0
48,1409,2202.33,2025-07-01 12:20:10,Mumbai,Tablet,Entertainment,0
49,4257,2373.67,2025-06-29 17:14:43,Mumbai,Windows_PC,Electronics,0
50,4598,613.17,2025-06-06 08:33:46,Kolkata,MacBook,Groceries,0
51,9834,10478.42,2025-06-18 14:55:05,Hyderabad,Linux_PC,Dining,0
52,1053,4476.74,2025-06-06 04:08:40,Chennai,iPhone,Electronics,1
53,3615,8415.28,2025-06-05 19:57:44,Kolkata,MacBook,Travel,0
54,3591,6756.46,2025-07-01 18:09:30,Kolkata,Android_Phone,Entertainment,0
55,5061,2733.16,2025-06-26 13:02:27,Mumbai,Android_Phone,Dining,0
56,5552,7648.31,2025-06-27 19:24:19,Delhi,iPhone,Groceries,0
57,6881,277.97,2025-06-29 04:20:56,Chennai,iPhone,Travel,1
58,8123,654.4,2025-06-11 00:57:52,Delhi,Android_Phone,Dining,1
59,4923,138.85,2025-06-06 03:48:42,Mumbai,Android_Phone,Entertainment,1
60,6947,1180.6,2025-06-28 01:12:19,Mumbai,Android_Phone,Groceries,1
